Journal title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Journal provides download statistics,Download statistics information URL,Journal license
Evidence-based Preclinical Medicine,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2054-703X,,,2054-703X,,,CC BY
Asthma Research and Practice,http://www.asthmarp.com/,,,2054-7064,Yes,http://www.asthmarp.com/content/1/1/1/about,CC BY
Journal of Clinical Movement Disorders,http://www.clinicalmovementdisorders.com/,,,2054-7072,Yes,http://www.clinicalmovementdisorders.com/content/1/1/10/about,CC BY
Fertility Research and Practice,http://www.fertilityresearchandpractice.com/,Fertil Res Pract,,2054-7099,Yes,http://www.fertilityresearchandpractice.com/content/1/1/5/about,CC BY
Open Health Data,http://openhealthdata.metajnl.com,,,2054-7102,Yes,http://openhealthdata.metajnl.com/article/view/jophd.af,CC BY
Journal of Hip Preservation Surgery,http://jhps.oxfordjournals.org/ ,,,2054-8397,Yes,http://www.oxfordjournals.org/en/librarians/usage-stats.html ,CC BY-NC
Science and Technology of Archaeological Research,http://www.maneyonline.com/loi/sta,STAR,,2054-8923,,,CC BY-NC
COPD Research and Practice,http://www.copdrp.com/,,,2054-9040,Yes,http://www.copdrp.com/content/1/1/1/about,CC BY
Military Medical Research,http://www.mmrjournal.org/,Military Med Res,,2054-9369,Yes,http://www.mmrjournal.org/content/1/1/3/about,CC BY
"Maternal Health, Neonatology and Perinatology",http://www.mhnpjournal.com/,Matern Health Neonatol Perinatol,,2054-958X,Yes,http://www.mhnpjournal.com/content/1/1/6/about,CC BY
Journal of Pharmaceutical Health Care and Sciences,http://www.jphcs.net/,J Pharm Health Care Sci,,2055-0294,Yes,http://www.jphcs.net/content/1/1/9/about,CC BY
Journal of Animal Science and Technology,http://www.janimscitechnol.com/,,,2055-0391,Yes,http://www.janimscitechnol.com/content/56/1/11/about,CC BY
Echo Research and Practice,http://www.echorespract.com/,,,2055-0464,,http://www.echorespract.com/site/misc/article_promotion.xhtml,CC BY-NC-ND
Journal of Lithic Studies,http://journals.ed.ac.uk/lithicstudies/,JLS,,2055-0472,,,CC BY
BMC Nutrition,http://www.biomedcentral.com/bmcnutr,,,2055-0928,Yes,http://www.biomedcentral.com/2055-0928/1/9/about,CC BY
"Tropical Diseases, Travel Medicine and Vaccines",http://www.tdtmvjournal.com/,,,2055-0936,Yes,http://www.tdtmvjournal.com/content/1/1/6/about,CC BY
npj Primary Care Respiratory Medicine,http://www.nature.com/npjpcrm,"Formerly published as, ""Primary Care Respiratory Journal""",,2055-1010,Yes,Available on each individual article record e.g. http://www.nature.com/articles/npjpcrm20143/metrics,CC BY
Health Psychology Open,http://hpo.sagepub.com,,,2055-1029,,,CC BY-NC
Palgrave Communications,http://www.palgrave-journals.com/palcomms/,PalComms,,2055-1045,Yes,http://www.palgrave-journals.com/articles/palcomms201510/metrics,CC BY
"Science, Religion and Culture",http://smithandfranklin.com/journal/Science-Religion-and-Culture/9,,,2055-222X,,,CC BY
Obesity Science & Practice,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2055-2238,OSP,,2055-2238,,,CC BY-NC-ND
Neuropsychiatric Electrophysiology,http://www.npepjournal.com/,,,2055-4788,Yes,http://www.npepjournal.com/content/1/1/10/about,CC BY
npj Biofilms and Microbiomes,http://www.nature.com/npjbiofilms/,npj Biofilms,,2055-5008,Yes,http://www.nature.com/articles/npjbiofilms20156/metrics,CC BY
Porcine Health Management,http://www.porcinehealthmanagement.com/,,,2055-5660,Yes,http://www.porcinehealthmanagement.com/about/articlemetrics,CC BY
Pilot and Feasibility Studies,http://www.pilotfeasibilitystudies.com/,,,2055-5784,Yes,http://www.pilotfeasibilitystudies.com/content/1/1/15/about,CC BY
Neurovascular Imaging,http://nvijournal.biomedcentral.com/,,,2055-5792,Yes,http://www.nvijournal.com/content/1/1/9/about,CC BY
ESC Heart Failure,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2055-5822,ESCHF,,2055-5822,,,CC BY-NC-ND
British Journal of Virology,http://smithandfranklin.com/journal/british-journal-of-virology/6,,,2055-6128,,,CC BY
Biomaterials Research,http://www.biomaterialsres.com/,Biomater Res,,2055-7124,Yes,http://www.biomaterialsres.com/content/18/1/5/about,CC BY
Microsystems & Nanoengineering,http://www.nature.com/micronano,Micronano,,2055-7434,Yes,http://www.nature.com/articles/micronano201510/metrics,CC BY-NC-ND
BMJ Open Sport & Exercise Medicine,http://bmjopensem.bmj.com,,,2055-7647,Yes,http://bmjopensem.bmj.com/articleusage?rid=1/1/e000005,CC BY-NC
Press Start,http://press-start.gla.ac.uk/,,,2055-8198,,,CC BY
Clinical Diabetes and Endocrinology,http://www.clindiabetesendo.com/,,,2055-8260,Yes,http://www.clindiabetesendo.com/content/1/1/5/about,CC BY
Social Media + Society,http://sms.sagepub.com,,,2056-3051,,,CC BY-NC
Zoological Letters,http://www.zoologicalletters.com/,,,2056-306X,Yes,http://www.zoologicalletters.com/content/1/1/14/about,CC BY
Regenerative Biomaterials,http://rb.oxfordjournals.org/ ,Regen Biomater,,2056-3426,Yes,http://www.oxfordjournals.org/en/librarians/usage-stats.html,CC BY
Remote Sensing in Ecology and Conservation,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2056-3485,RSE,,2056-3485,,,CC BY
npj Aging and Mechanisms of Disease,http://www.nature.com/npjamd,npjAMD,,2056-3973,Yes,http://www.nature.com/articles/npjamd201514/metrics,CC BY
The Journal of Pathology: Clinical Research,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2056-4538,,,2056-4538,,,CC BY-NC-ND
Johnson Matthey Technology Review ,http://www.technology.matthey.com/,Technology Review,,2056-5135,,,CC BY-NC-ND
Future Science OA,http://www.future-science.com/loi/fso,,,2056-5623,Yes,These are customer-specific and available on request,CC BY
Clinical Hypertension,http://www.clinicalhypertension.com/,,,2056-5909,Yes,http://www.clinicalhypertension.com/content/21/1/3/about,CC BY
Safety in Health,http://www.safetyinhealth.com/,,,2056-5917,Yes,http://www.safetyinhealth.com/content/1/1/14/about,CC BY
RMD Open,http://rmdopen.bmj.com/,,,2056-5933,Yes,http://rmdopen.bmj.com/content/1/1/e000066.full,CC BY-NC
Cell Discovery,http://www.nature.com/celldisc/,CELLDISC,,2056-5968,Yes,http://www.nature.com/articles/celldisc20153/metrics,CC BY
npj Quantum Information,http://www.nature.com/npjqi/,npjQI,,2056-6387,Yes,http://www.nature.com/articles/npjqi201519/metrics,CC BY
European Medical Journal Rheumatology,http://emjreviews.com/therapeutic-area/rheumatology/,EMJ Rheumatology,,2056-6395,,,CC BY-NC
The Bridge: Journal of Educational Research - Informed Practice,https://journaleducationalresearchinformedpractice.wordpress.com,,,2056-6670,,,CC BY-NC-ND
npj Systems Biology and Applications,http://www.nature.com/npjsba,npjSBA,2056-7189,,Yes,http://www.nature.com/articles/npjsba20157/metrics,CC BY
Journal of Agricultural and Applied Economics,http://journals.cambridge.org/action/displayJournal?jid=AAE,,,2056-7405,Yes,http://journals.cambridge.org/action/displayIssue?jid=AAE&tab=currentissue,CC BY
Research Involvement and Engagement,http://www.researchinvolvement.com/,,,2056-7529,Yes,http://www.researchinvolvement.com/content/1/1/10/about,CC BY
The Luminary,http://www.lancs.ac.uk/luminary,,,2056-9238,,,CC BY-NC-ND
Acta Crystallographica Section E: Crystallographic Communications,http://journals.iucr.org/e/,Crystallographic Communications,,2056-9890,Yes,http://journals.iucr.org/services/article_download_statistics.html,CC BY
International Journal of Retina and Vitreous ,http://www.journalretinavitreous.com/,,,2056-9920,Yes,http://www.journalretinavitreous.com/content/1/1/6/about,CC BY
Archives of Physiotherapy,http://www.archivesphysiotherapy.com,Arch Physiother,,2057-0082,Yes,http://www.archivesphysiotherapy.com/content/5/1/5/about,CC BY
Virus Evolution,http://ve.oxfordjournals.org/,,,2057-1577,Yes,http://www.oxfordjournals.org/en/librarians/usage-stats.html,CC BY-NC
Neuroscience of Consciousness,http://nc.oxfordjournals.org/ ,,,2057-2107,Yes,,CC BY-NC
Chinese Neurosurgical Journal,http://www.cnjournal.org/,,,2057-4967,Yes,http://www.cnjournal.org/content/1/1/8/about,CC BY
applied psychological research journal,http://e-learning.coventry.ac.uk/ojs/index.php/j1,APRJ,,2057-570X,,,CC BY
Vestiges: Traces of Record,http://www.vestiges-journal.info/,,,2058-1963,,,CC BY
Journal of Innovation in Health Informatics,http://hijournal.bcs.org/index.php/jhi/index,,2058-4555,2058-4563,,,CC BY
Acta Radiologica Open,http://arr.sagepub.com/,,,2058-4601,,,CC BY-NC
Environmental Epigenetics,http://eep.oxfordjournals.org/ ,,,2058-5888,Yes,http://www.oxfordjournals.org/en/librarians/usage-stats.html ,CC BY-NC
Nephrology @ Point of Care,http://www.pointofcarejournals.com/poc/napoc,NaPoC,,2059-3007,Yes,http://www.pointofcarejournals.com/poc/napoc/the-management-of-hyponatremia,CC BY-NC-ND
Finance and Society,http://financeandsociety.ed.ac.uk/,,,2059-5999,,,CC BY-NC-ND
Biomechanica Hungarica,http://biomechanica.hu/index.php/biomech/index,,2060-0305,2060-4475,,,
Journal of Environmental Geography,http://www.degruyter.com/view/j/jengeo,,,2060-467X,,,CC BY-NC-ND
Interventional Medicine & Applied Science,http://www.akademiai.com/content/121666,,2061-1617,2061-5094,,,CC BY-NC
Corvinus Journal of Sociology and Social Policy,http://cjssp.uni-corvinus.hu,,2061-5558,2062-087X,,,
Agrárinformatika Folyóirat,http://journal.magisz.org/,Journal of Agricultural Informatics,2061-862X,,,,
Ornis Hungarica,http://www.degruyter.com/view/j/orhu,,,2061-9588,,,CC BY-NC-ND
Kaleidoscope History,http://www.kaleidoscopehistory.hu/,,2062-2597,,,,
European Chemical Bulletin,http://www.eurchembull.com,,2063-5346,,,,
KOME: An International Journal of Pure Communication Inquiry,http://komejournal.com,KOME,,2063-7330,,,Publisher's own license
Finno-Ugric Languages and Linguistics,http://full.btk.ppke.hu,,2063-8825,,,,
Acta Periodica Duellatorum,http://www.degruyter.com/view/j/apd,,,2064-0404,,,CC BY-NC-ND
YBL Journal of Built Environment,http://www.degruyter.com/view/j/jbe,,,2064-2520,,,CC BY-NC-ND
Dissertationes Archaeologicae: Ex Instituto Archaeologico Universitatis de Rolando Eötvös Nominatae,http://dissarch.elte.hu,,,2064-4574,Yes,http://dissarch.elte.hu/puna.php,CC BY-NC
Jelentés és Nyelvhasználat,http://www.jeny.szte.hu,,,2064-9940,,,CC BY-NC-ND
Acta Universitatis Danubius : Oeconomica,http://journals.univ-danubius.ro/index.php/oeconomica/index,,2065-0175,2067-340X,,,
Acta Universitatis Danubius : Relationes Internationales,http://journals.univ-danubius.ro/index.php/internationalis,,2065-0272,,,,
Timisoara Physical Education and Rehabilitation Journal,http://www.tperj.ro/en/,,2065-0574,,,,
GeoJournal of Tourism and Geosites,http://gtg.webhost.uoradea.ro/,,2065-1198,,,,
Acta Didactica Napocensia,http://adn.teaching.ro/,,2065-1430,,,,
Bulletin of the Transilvania University of Brasov. Series V : Economic Sciences,http://webbut.unitbv.ro/Bulletin/Series%20V/Series%20V.html,,2065-2194,,,,
Annals : Food Science and Technology,http://www.afst.valahia.ro,,2065-2828,,,,
Journal of Plant Development ,http://www.plant-journal.uaic.ro/home.htm,,2065-3158,2066-9917,,,
Translation Studies: Retrospective and Prospective Views,http://translation-studies.webnode.ro/,TSRPV,2065-3514,2501-0778,,,CC BY-NC-ND
Public Reason,http://publicreason.ro,,2065-7285,2065-8958,,,
Journal of Applied Computer Science & Mathematics,http://jacs.usv.ro/,,2066-4273,2066-3129,,,
Essachess : Journal for Communication Studies,http://www.essachess.com,,2066-5083,1775-352X,,,
Studies and Scientific Researches: Economics Edition,http://sceco.ub.ro/index.php/SCECO,Studii si Cercetari Stiintifice: Seria Stiinte Economice,2066-561X,2344-1321,,,CC BY
Mathematics and its Applications : Annals of the Academy of Romanian Scientists,http://www.mathematics-and-its-applications.com,,2066-5997,2066-6594,,,
International Journal of Medical Dentistry,http://www.ijmd.ro,,2066-6063,,,,
Financial Studies,http://fs.icfm.ro/,,,2066-6071,,,CC BY-NC-ND
Carpathian Journal of Food Science and Technology,http://chimie-biologie.ubm.ro/carpathian_journal/index.html,Carpathian Journal of Food Science & Technology,2066-6845,,,,
Mathematical Modelling in Civil Engineering,http://www.degruyter.com/view/j/mmce,,,2066-6934,,,CC BY-NC-ND
Revista Romaneasca pentru Educatie Multidimensionala,http://revistaromaneasca.ro/,Romanian Journal for Multidimensional Education,2066-7329,2067-9270,,,CC BY-NC-ND
Animal Biology & Animal Husbandry,http://www.abah.bioflux.com.ro/,ABAH Bioflux ,2066-7612,2067-6344,,,
Advances in Environmental Sciences,http://www.aes.bioflux.com.ro,AES Bioflux ,2066-7620,2066-7647,,,
Human & Veterinary Medicine,http://www.hvm.bioflux.com.ro,HVM Bioflux ,2066-7655,2066-7663,,,
"Extreme Life, Biospeology & Astrobiology",http://www.elba.bioflux.com.ro/,ELBA Bioflux,2066-7671,2067-6360,,,
Acta Universitatis Sapientiae: Mathematica,http://www.degruyter.com/view/j/ausm,,,2066-7752,,,CC BY-NC-ND
Acta Universitatis Sapientiae: Informatica,http://www.degruyter.com/view/j/ausi,,,2066-7760,,,CC BY-NC-ND
Acta Universitatis Sapientiae: Film and Media Studies,http://www.degruyter.com/view/j/ausfm,,,2066-7779,,,CC BY-NC-ND
INCAS Bulletin,http://bulletin.incas.ro,INCAS Bulletin,2066-8201,2247-4528,,,CC BY-NC-ND
Oeconomics of Knowledge,http://www.saphira.ro/ok,,2066-8325,,,,CC BY
Terra Sebus : Acta Musei Sabesiensis,http://www.cclbsebes.ro/muzeul-municipal-ioan-raica/terra-sebus.html,,2066-9143,,,,
Risk in Contemporary Economy,http://www.rce.feaa.ugal.ro/,,2067-0532,,,,CC BY-NC
Diversité et Identité Culturelle en Europe (DICE),http://www.mnlr.ro/publicații/dice,Diversitate si Identitate Culturala in Europa ,2067-0931,,,,CC BY-NC-ND
Revista de Administratie Publica si Politici Sociale,http://www.uvvg.ro/revad/,Public Administration and Social Policies Review,2067-1695,2344-4940,,,
Revista Româna de Studii Baltice si Nordice,http://www.arsbn.ro/RRSBN.htm,Romanian Journal for Baltic and Nordic Studies,2067-1725,2067-225X,,,CC BY
Cercetari Agronomice in Moldova,http://www.uaiasi.ro/CERCET_AGROMOLD/en-home,,,2067-1865,,,
Acta Chemica Iasi,http://www.degruyter.com/view/j/achi,,,2067-2446,,,CC BY-NC-ND
Journal of Social Research & Policy,http://www.jsrp.ro/,JSRP : Journal of Social Research and Policy,2067-2640,2068-9861,,,CC BY-NC-ND
Theory and Applications of Mathematics & Computer Science,http://www.uav.ro/applications/se/journal/index.php/tamcs,,2067-2764,2247-6202,,,CC BY-NC-ND
Notulae Scientia Biologicae,http://notulaebiologicae.ro/index.php/nsb,,2067-3205,2067-3264,,,CC BY
"Meta : Research in Hermeneutics, Phenomenology and Practical Philosophy",http://www.metajournal.org/,"Meta :  Research in Hermeneutics, Phenomenology & Practical Philosophy ",2067-3655,,,,
European Journal of Interdisciplinary Studies,http://www.ejist.ro/,EJIS,2067-3795,,,,
Acta Technica Corviniensis,http://acta.fih.upt.ro/,Acta Technica Corviniensis : Bulletin of Engineering,2067-3809,,,,
Brain : Broad Research in Artificial Intelligence and Neuroscience,http://brain.edusoft.ro/index.php/brain,BRAIN,2067-3957,,,,CC BY-NC
"Journal of Mobile, Embedded and Distributed Systems",http://www.jmeds.eu,JMEDS,2067-4074,,,,CC BY-SA
JURA : Journal of Urban and Regional Analysis,http://www.jurareview.ro/,Jurareview,2067-4082,2068-9969,,,
Economy Transdisciplinarity Cognition,http://etc.ugb.ro/home,ETC,2067-5046,2068-7389,,,
International Journal of Conservation Science,http://www.ijcs.uaic.ro,,2067-533X,2067-8223,,,CC BY-NC-ND
Journal of Sustainable Energy,http://www.energy-cie.ro,,2067-5534,,,,
Journal of Humanistic and Social Studies ,http://www.jhss.ro/en/index.htm,JHSS,2067-6557,2247-2371,,,CC BY
Aerul şi Apa: Componente ale Mediului,http://aerapa.conference.ubbcluj.ro/,Air and Water Components of the Environment,2067-743X,,,,CC BY
CES Working Papers,http://www.cse.uaic.ro/WorkingPapers/homeWP.htm,Centre for European Studies Working Papers Series ,2067-7693,,,,
"BRAND : Broad Research in Accounting, Negotiation, and Distribution",http://brand.edusoft.ro,,2067-8177,,,,
EIRP Proceedings,http://journals.univ-danubius.ro/index.php/eirp,European Integration - Realities and Perspectives Proceedings,2067-9211,2069-9344,,,
Valahian Journal of Economic Studies,http://www.vjes.eu,,2067-9440,,,,
Revue Valaque d’Etudes Economiques,http://www.rvee.eu/,,2067-9459,,,,
Postmodern Openings,http://postmodernopenings.com/,,2068-0236,2069-9387,,,CC BY-NC-ND
Journal of Comparative Research in Anthropology and Sociology,http://compaso.ro/,,2068-0317,,,,CC BY-NC-ND
Acta Universitatis Sapientiae: Agriculture and Environment,http://www.degruyter.com/view/j/ausae,,,2068-2964,,,CC BY-NC-ND
GeoGebra : The New Language for the Third Millennium,http://ggijro.wordpress.com/,,2068-3227,2247-7241,,,
Journal of Economics and Business Research,http://www.uav.ro/en/journals/jebr,JEBR : Journal of Economics & Business Research,2068-3537,,,,
Banat’s Journal of Biotechnology,http://www.bjbabe.ro/,,2068-4673,2068-4738,,,
Acta Universitatis Danubius : Administratio,http://journals.univ-danubius.ro/index.php/administratio,,2068-5459,,,,
Eastern Journal of European Studies,http://ejes.uaic.ro/index.htm,EJES,2068-651X,2068-6633,,,CC BY
"Acta Universitatis Sapientiae, European and Regional Studies",http://www.degruyter.com/view/j/auseur,,,2068-7583,,,CC BY-NC-ND
Challenges of the Knowledge Society,http://cks.univnt.ro,,2068-7796,,,,
Social Change Review,http://www.degruyter.com/view/j/scr,,,2068-8016,,,CC BY-NC-ND
Scientific Annals of the Alexandru Ioan Cuza University of Iasi : Economic Sciences Series,http://anale.feaa.uaic.ro/anale/en/,Analele Ştiinţifice ale Universităţii „Alexandru Ioan Cuza” din Iaşi : Secţiunea Ştiinţe Economice,,2068-8717,,,
Journal of Defense Resources Management,http://journal.dresmara.ro,,2068-9403,,,,CC BY-NC-SA
Urbanism. Arhitectura. Constructii,http://uac.incd.ro/EN/index.htm,,2069-0509,2069-6469,,,CC BY-NC-ND
Logos & Episteme : an International Journal of Epistemology,http://www.logos-and-episteme.proiectsbc.ro/,,2069-0533,2069-3052,,,
Romanian Journal of Fiscal Policy,http://www.rjfp.ro/,RJFP,,2069-0983,,,
Agathos : An International Review of the Humanities and Social Sciences ,http://www.agathos-international-review.com,Agathos : an International Review of the Humanities & Social Sciences ,2069-1025,2248-3446,,,
Database Systems Journal,http://www.dbjournal.ro,DB Journal,,2069-3230,,,Publisher's own license
Hyperion International Journal of Econophysics & New Economy,http://www.journal-hyperion.ro,Hyperion International Journal of Econophysics and New Economy,2069-3508,,,,
"Annals of Philosophy, Social and Human Disciplines ",http://www.fig.usv.ro/socio-umane/index.html,,2069-4008,2069-4016,,,
Supply Chain Management Journal,http://scm-journal.com/,,2069-5519,2284-6492,,,
The International Journal of Economic Behavior,http://ijeb.faa.ro/index.php?option=com_article&view=articles&jid=1,,2069-5756,2285-0430,,,
Biointerface Research in Applied Chemistry,http://www.biointerfaceresearch.com,,2069-5837,,,,
"Journal of Knowledge Management, Economics and Information Technology",http://www.scientificpapers.org/,"Journal of Knowledge Management, Economics & Information Technology",2069-5934,,,,
Acta Universitatis Sapientiae : Social Analysis,http://www.acta.sapientia.ro/acta-social/social-main.htm,,2069-7449,2248-0854,,,
Balneo Research Journal,http://bioclima.ro/Journal.htm,,2069-7597,2069-7619,,,CC BY-NC-ND
Journal of Scientific Research,http://www.banglajol.info/index.php/JSR,,2070-0237,2070-0245,,,CC BY-SA
Global Media Journal : Pakistan Edition,http://www.aiou.edu.pk/gmj/CurrentIssue.asp,,2070-2469,,,,
Neftegazovaâ Geologiâ : Teoriâ i Praktika ,http://www.ngtp.ru/,,2070-5379,,,,CC BY-NC
Revista Científica (Instituto de Investigaciones Químicas y Biológicas. Facultad de Ciencias Químicas y Farmacia. Universidad de San Carlos de Guatemala),http://revistaiiqb.usac.edu.gt/index.php/revista_cientifica,Revista Científica,2070-8246,2224-5545,,,CC BY-NC-SA
Andrologiâ i Genitalʹnaâ Hirurgiâ,http://agx.abvpress.ru/,Andrology and Genital Surgery,2070-9781,,,,CC BY
Cardiovascular Journal,http://www.banglajol.info/index.php/CARDIO/index,,2071-0917,,,,
Sustainability,http://www.mdpi.com/journal/sustainability,,2071-1050,,,,CC BY
KCA Journal of Business Management,http://www.kcajournals.com/index,KJBM,2071-2162,2072-7992,,,
Universitas (León),http://revista.unanleon.edu.ni,Revista Científica de la UNAN León,2071-257X,2311-6072,,,CC BY-NC
African Journal of Primary Health Care & Family Medicine,http://www.phcfm.org/index.php/phcfm/index,,,2071-2936,,,CC BY
Magazine of Civil Engineering,http://www.engstroy.spb.ru,Инженерно-строительный журнал,2071-4726,2071-0305,,,
Journal of Animal and Plant Sciences,http://www.m.elewa.org/JAPS/index.html,J. Anim. Plant Sci.,,2071-7024,,,Not CC-like
Economics & Sociology (Ternopil),http://www.economics-sociology.eu/,,2071-789X,2306-3459,,,CC BY-NC-ND
Journal of International Studies,http://www.jois.eu/,,2071-8330,2306-3483,,,CC BY-NC-ND
Ožirenie i Metabolizm,http://omet.endojournals.ru/,Obesity and Metabolism,2071-8713,2306-5524,,,CC BY
Saharnyj Diabet,http://dia.endojournals.ru/,Diabetes Mellitus,2072-0351,2072-0378,,,CC BY
"Journal of Health, Population and Nutrition",http://www.jhpn.org/,J Health Popul Nutr,,2072-1315,Yes,http://www.jhpn.org/content/34/1/5/about,CC BY
Gumanìtarnij Vìsnik Zaporìzʹkoï Deržavnoï Inženernoï Akademìï,http://vestnikzgia.com.ua,,2072-1692,2072-7941,,,CC BY
Remote Sensing,http://www.mdpi.com/journal/remotesensing/,,2072-4292,,,,CC BY
Smile Dental Journal,http://www.smiledentaljournal.com/,,2072-473X,2072-4748,,,
Magnetic Resonance in Solids,http://mrsej.ksu.ru,MRSej,2072-5981,,,,
Èkonomika Regiona,http://www.economyofregion.com/,Economy of Region,2072-6414,2411-1406,,,CC BY-NC
Nutrients,http://www.mdpi.com/journal/nutrients/,,2072-6643,,,,CC BY
Toxins,http://www.mdpi.com/journal/toxins/,,2072-6651,,,,CC BY
Micromachines,http://www.mdpi.com/journal/micromachines/,,2072-666X,,,,CC BY
Cancers,http://www.mdpi.com/journal/cancers/,,2072-6694,,,,CC BY
Žurnal Infektologii 	,http://journal.niidi.ru/,Journal Infectology,2072-6732,,,,CC BY
Nepalese Journal of Ophthalmology,http://www.nepjol.info/index.php/NEPJOPH,NEPjOPH,2072-6805,2091-0320,,,
Èksperimentalʹnaâ Psihologiâ,http://psyjournals.ru/en/exp/, Experimental Psychology (Russia) ,2072-7593,2311-7036,Yes,http://psyjournals.ru/exp/2015/n1/index.shtml,Publisher's own license
Journal of the Selva Andina Research Society,http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2072-9294&lng=es&nrm=iso,Journal of the Selva Andina Research Society,2072-9294,2072-9308,,,Publisher's own license
Pracì Mìžnarodnogo Geometričnogo Centru ,http://www.geometry-center.com/,Proceedings of the International Geometry Center,2072-9812,2409-8906,,,CC BY
Momona Ethiopian Journal of Science,http://ajol.info/index.php/mejs/index,MEJS,2073-073X,,,,
La Mirada de Telemo,http://revistas.pucp.edu.pe/index.php/lamiradadetelemo,,2073-0837,,,,CC BY
Vestnik Zoologii,http://www.degruyter.com/view/j/vzoo,,,2073-2333,,,
Global Media Journal : African Edition,http://globalmedia.journals.ac.za,,2073-2740,,,,
Computers,http://www.mdpi.com/journal/computers,,2073-431X,,,,CC BY
Games,http://www.mdpi.com/journal/games/,,2073-4336,,,,CC BY
Catalysts,http://www.mdpi.com/journal/catalysts,,2073-4344,,,,CC BY
Crystals,http://www.mdpi.com/journal/crystals/,,2073-4352,,,,CC BY
Polymers,http://www.mdpi.com/journal/polymers/,,2073-4360,,,,CC BY
Agronomy ,http://www.mdpi.com/journal/agronomy,,,2073-4395,Yes,http://www.mdpi.com/journal/agronomy/stats,CC BY
Cells,http://www.mdpi.com/journal/cells,,2073-4409,,,,CC BY
Genes,http://www.mdpi.com/journal/genes/,,2073-4425,,,,CC BY
Atmosphere,http://www.mdpi.com/journal/atmosphere/,,2073-4433,,,,CC BY
Water,http://www.mdpi.com/journal/water/,,2073-4441,,,,CC BY
Land,http://www.mdpi.com/journal/land,,2073-445X,,,,CC BY
Antibodies,http://www.mdpi.com/journal/antibodies,,,2073-4468,Yes,http://www.mdpi.com/journal/antibodies/stats,CC BY
Journal of Research in Education Sciences,http://jories.ntnu.edu.tw/jres/Default.aspx?loc=en,教育科學研究期刊,2073-753X,,,,CC BY-NC-ND
International Journal of Emotional Education,http://www.um.edu.mt/edres/ijee,,2073-7629,,,,
Knowledge Management & E-Learning: An International Journal,http://www.kmel-journal.org/ojs/index.php/online-publication,KM&EL,2073-7904,,,,CC BY
Russkij  Žurnal Detskoj Nevrologii,http://rjdn.abvpress.ru,Russian Journal of Child Neurology ,2073-8803,2412-9178,,,CC BY
Symmetry,http://www.mdpi.com/journal/symmetry/,,2073-8994,,,,CC BY
International Journal of Electronic Commerce Studies,http://ijecs.academic-publication.org/home,,2073-9729,,,,
Bylye Gody,http://bg.sutr.ru/en/index.html,,2073-9745,,,,
"Nevrologiâ, Nejropsihiatriâ, Psihosomatika",http://nnp.ima-press.net/index.php/nnp,,2074-2711,2310-1342,,,CC BY
Electrical Engineering & Electromechanics,http://eie.khpi.edu.ua/,Elektrotehnìka ì Elektromehanìka,2074-272X,2309-3404,,,CC BY-NC
Psihologičeskaâ Nauka i Obrazovanie,http://psyjournals.ru/en/psyedu_ej/,Psychological Science and Education,,2074-5885,Yes,http://psyjournals.ru/psyedu_ru/2015/n1/,Publisher's own license
Psychology in Russia : State of Art,http://psychologyinrussia.com/,Psychology Russia,2074-6857,2307-2202,,,
International Journal of Information Technology and Computer Science ,http://www.mecs-press.org/ijitcs/,IJITCS,2074-9007,2074-9015,,,
International Journal of Information Engineering and Electronic Business,http://www.mecs-press.org/ijieeb/,IJIEEB,2074-9023,2074-9031,,,
International Journal of Intelligent Systems and Applications,http://www.mecs-press.org/ijisa/,IJISA,2074-904X,2074-9058,,,
"International Journal of Image, Graphics and Signal Processing",http://www.mecs-press.org/ijigsp/,IJIGSP,2074-9074,2074-9082,,,
International Journal of Computer Network and Information Security ,http://www.mecs-press.org/ijcnis/,IJCNIS,2074-9090,2074-9104,,,
Soil & Environment,http://www.se.org.pk,Soil and Environment,2074-9546,2075-1141,,,
Baltijskij Region,http://journals.kantiana.ru/baltic_region/,,2074-9848,,,,
International Journal of Modern Education and Computer Science,http://www.mecs-press.org/ijmecs/,IJMECS,2075-0161,2075-017X,,,
Sultan Qaboos University Medical Journal : SQUMJ,http://web.squ.edu.om/squmj/index.asp,,2075-051X,2075-0528,,,
Scientific Herald of the Voronezh State University of Architecture and Civil Engineering,http://vestnikvgasu.wmsite.ru,,2075-0811,,,,
Ribogospodarsʹka Nauka Ukraïni,http://fsu.ua,Fisheries Science of Ukraine,2075-1508,2312-9581,,,Publisher's own license
Minerals,http://www.mdpi.com/journal/minerals,,2075-163X,,,,CC BY
Axioms,http://www.mdpi.com/journal/axioms,,2075-1680,,,,CC BY
Machines,http://www.mdpi.com/journal/machines,,2075-1702,,,,CC BY
Life,http://www.mdpi.com/journal/life,,2075-1729,,,,CC BY
Electronic Proceedings in Theoretical Computer Science,http://eptcs.org/,EPTCS,2075-2180,,,,
